kanji,meaning,pronounciation,time,frequency
人,Person,hito,10,normal
男,"Man, boy, male",otoko,10,normal
女,"Woman, girl, female","onna, me",10,normal
子,Child,ko,10,normal
母,Mother,haha,10,normal
父,Father,chichi,10,normal
友,Friend,tomo,10,normal
火,Fire,hi,10,normal
水,Water,mizu,10,normal
木,"Tree, wood","ki, ko",10,normal
土,"Earth, ground",tsuchi,10,normal
金,"Money, gold",kane,10,normal
本,"Book, source",moto,10,normal
川,River,kawa,10,normal
花,Flower,hana,10,normal
気,Spirit,—,10,normal
生,"Life, to live, to be born, to grow","i(kiru), u(mareru), ha(yasu)",10,normal
魚,Fish,sakana,10,normal
天,Heaven,"ame, ama",10,normal
空,"Sky, empty","sora, a(keru)",10,normal
山,Mountain,yama,10,normal
雨,Rain,ame,10,normal
電,Electricity,—,10,normal
車,"Car, vehicle",kuruma,10,normal
語,"Language, word, to chat",kata(ru),10,normal
耳,Ear,mimi,10,normal
手,Hand,te,10,normal
足,"Foot, to add","ashi, ta(su)",10,normal
目,Eye,me,10,normal
口,Mouth,kuchi,10,normal
名,Name,na,10,normal
